Country ,Language 
Bahamas ,"English, Creole "
Bahrain ,"Arabic, English, Farsi, Urdu "
Bangladesh ,"Bangla, English "
Barbados ,English 
Bolivia ,"Spanish, Quechua, Aymara "
Libya,"Arabic, Italian, English "
Micronesia ,"English, Chukese, Pohnpeian, Yapase, Kosrean "
Switzerland ,"German, French, Italian, Romansch "
Taiwan ,Chinese
Tajikistan ,"Tajik, Russian, Uzbek "
Tanzania ,"Swahili, English, local languages "
Thailand ,"Thai, Chinese, English "
Trinidad and Tobago ,"English, Hindi, French, Spanish  "
Tunisia ,"Arabic, French "
Turkey,"Turkish, Kurdish "
Turkmenistan ,"Turkmen, Russian, Uzbek "
Tuvalu ,"Tuvaluan, English "
Uganda ,"English, Swahili, Luganda, Ateso, Luo "
Ukraine ,Ukrainian 
United Arab Emirates ,"Arabic, English"
United Kingdom ,"English, Welsh, Scots Gaelic "
United States ,English
Uruguay ,Spanish 
Uzbekistan ,"Uzbek, Russian, Tajik, other "
Vatican City ,"Latin, Italian"
Vietnam ,"Vietnamese, French, English, Khmer, Chinese "
Western Sahara region ,"Hassaniya Arabic, Moroccan Arabic "
Yemen ,Arabic 